 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              0,         0,           0,          1,             0,               0,              0,        0,          0,         1
 1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        0,          0,         1
 2,             1,               0,              2,         2,           2,          7,             1,               0,              1,        1,          2,         2
 3,             2,               0,              1,         4,           4,          6,             3,               0,              0,        3,          4,         2
 4,             4,               1,              2,         5,           4,          4,             6,               1,              1,        6,          7,         2
 5,             8,               5,              3,        11,           7,          4,            10,               3,              1,       10,          9,         3
 6,            13,               9,              4,        17,           9,          5,            15,               5,              2,       16,         13,         4
 7,            15,              10,              4,        17,          10,          5,            21,               6,              3,       21,         16,         5
 8,            17,              11,              4,        23,          13,          6,            28,               7,              3,       27,         21,         6
 9,            20,              13,              5,        33,          13,          8,            36,               7,              4,       34,         25,         7
10,            21,              13,              5,        33,          15,          9,            45,               7,              5,       40,         29,         8
